,region,"28. GO, BONG GO    (PDPLBN)","5. AQUINO, BAM (KNP)","22. DELA ROSA, BATO (PDPLBN)","63. TULFO, ERWIN (LAKAS)","51. PANGILINAN, KIKO (LP)","33. LACSON, PING (IND)","38. MARCOLETA, RODANTE (IND)","59. SOTTO, TITO (NPC)","18. CAYETANO, PIA (NP)","66. VILLAR, CAMILLE (NP)","35. LAPID, LITO (NPC)","39. MARCOS, IMEE R. (NP)"
0,Autonomous Region in Muslim Mindanao,1241337,268525,1062852,339833,244174,261241,732526,196588,334036,384079,299394,524959
1,Bicol,903576,1596345,492895,1088617,1276284,879759,382836,915589,889045,668879,886567,443770
2,Cagayan Valley,700631,662950,373434,764459,498602,633204,345766,581624,549903,542227,563603,699682
3,Calabarzon,3000265,3780351,2074939,2582067,2791462,2647187,1746398,2547519,2266341,1525793,1806514,1739555
4,Caraga,1105760,357811,1044960,311784,215560,215147,676946,200259,282085,433525,235688,357552
5,Central Luzon,2509247,3099489,1716250,2140378,2140276,1989496,1666814,2390782,1891062,1358240,2094944,1521149
6,Central Visayas,2817408,1345787,2494838,1216139,982198,893378,1431347,849479,1028977,1420450,957291,889463
7,Cordillera Administrative Region,366647,245659,250863,406726,199294,346908,193572,258820,242627,271149,214546,360628
8,Davao,2144199,353166,2116077,378985,201861,288355,1532854,252308,440578,818982,386508,530106
9,Eastern Visayas,1337415,759319,852938,827521,660255,719569,540220,569630,664812,749140,739121,724425
10,Ilocos,961140,1085063,581009,1188353,839211,942339,533339,1024610,891367,758045,861695,1218422
11,Mimaropa,660557,585176,410624,679207,455123,495227,306722,505162,477949,409048,513209,331210
12,National Capital Region,2872175,3294828,1979829,1928278,2417896,2190645,1695144,2097236,1898798,1158378,1101953,1475973
13,Northern Mindanao,1906995,630521,1653941,583645,335365,509638,1078530,511991,605995,917420,588758,715786
14,Soccsksargen,1506467,480011,1395704,512400,303657,406060,928492,320959,436862,576984,489418,487375
15,Western Visayas,1590569,1886553,949779,1558654,1383155,1236079,617797,1159585,1187316,1047986,1147374,765374
16,Zamboanga Peninsula,1096278,385492,962268,500710,277439,330826,564877,350419,374599,481649,421335,399525
